# ell   TT    EE     BB    TE    PP    TP    EP
   179   6.6277675e+03   1.0445733e+00   0.0000000e+00  -4.6500738e+01   6.3292154e-08   6.2383577e-11  -2.6738809e-13
   180   6.6571708e+03   1.0305725e+00   0.0000000e+00  -4.5557005e+01   6.2956808e-08   6.1860763e-11  -2.6206510e-13
   181   6.6859876e+03   1.0167610e+00   0.0000000e+00  -4.4578721e+01   6.2624273e-08   6.1345127e-11  -2.5650196e-13
   182   6.7142187e+03   1.0031763e+00   0.0000000e+00  -4.3565974e+01   6.2294491e-08   6.0836434e-11  -2.5071621e-13
   183   6.7418550e+03   9.8984580e-01   0.0000000e+00  -4.2518956e+01   6.1967450e-08   6.0334477e-11  -2.4472549e-13
   184   6.7688773e+03   9.7681704e-01   0.0000000e+00  -4.1437953e+01   6.1643130e-08   5.9839036e-11  -2.3854738e-13
   185   6.7952863e+03   9.6413749e-01   0.0000000e+00  -4.0322856e+01   6.1321489e-08   5.9349883e-11  -2.3219943e-13
   186   6.8210630e+03   9.5183464e-01   0.0000000e+00  -3.9174154e+01   6.1002491e-08   5.8866790e-11  -2.2569919e-13
   187   6.8462080e+03   9.3994696e-01   0.0000000e+00  -3.7991936e+01   6.0686132e-08   5.8389543e-11  -2.1906426e-13
   188   6.8707123e+03   9.2852595e-01   0.0000000e+00  -3.6776592e+01   6.0372356e-08   5.7917922e-11  -2.1231221e-13
   189   6.8945566e+03   9.1761108e-01   0.0000000e+00  -3.5528309e+01   6.0061164e-08   5.7451707e-11  -2.0546061e-13
   190   6.9177418e+03   9.0724584e-01   0.0000000e+00  -3.4247478e+01   5.9752513e-08   5.6990683e-11  -1.9852703e-13
   191   6.9402587e+03   8.9747072e-01   0.0000000e+00  -3.2934488e+01   5.9446364e-08   5.6534604e-11  -1.9152895e-13
   192   6.9620881e+03   8.8833018e-01   0.0000000e+00  -3.1589428e+01   5.9142723e-08   5.6083282e-11  -1.8448403e-13
   193   6.9832207e+03   8.7986672e-01   0.0000000e+00  -3.0212687e+01   5.8841515e-08   5.5636464e-11  -1.7740973e-13
   194   7.0036676e+03   8.7212583e-01   0.0000000e+00  -2.8804854e+01   5.8542755e-08   5.5193963e-11  -1.7032370e-13
   195   7.0234093e+03   8.6515297e-01   0.0000000e+00  -2.7366219e+01   5.8246407e-08   5.4755539e-11  -1.6324342e-13
   196   7.0424469e+03   8.5899364e-01   0.0000000e+00  -2.5897371e+01   5.7952412e-08   5.4320966e-11  -1.5618642e-13
   197   7.0607810e+03   8.5369532e-01   0.0000000e+00  -2.4398698e+01   5.7660781e-08   5.3890042e-11  -1.4917030e-13
   198   7.0784125e+03   8.4930350e-01   0.0000000e+00  -2.2870690e+01   5.7371469e-08   5.3462536e-11  -1.4221257e-13
   199   7.0953122e+03   8.4586364e-01   0.0000000e+00  -2.1313737e+01   5.7084448e-08   5.3038220e-11  -1.3533075e-13
   200   7.1115010e+03   8.4342125e-01   0.0000000e+00  -1.9728527e+01   5.6799691e-08   5.2616887e-11  -1.2854240e-13
   201   7.1269594e+03   8.4202473e-01   0.0000000e+00  -1.8115343e+01   5.6517172e-08   5.2198348e-11  -1.2186173e-13
   202   7.1416775e+03   8.4171930e-01   0.0000000e+00  -1.6474945e+01   5.6236886e-08   5.1782564e-11  -1.1528971e-13
   203   7.1556251e+03   8.4255207e-01   0.0000000e+00  -1.4807584e+01   5.5958786e-08   5.1369517e-11  -1.0882396e-13
